encoding,condition,shift_freq,seed,final_fitness,fitness_jumps
folding,shifting,20,18,1.0,9
direct,shifting,20,18,1.0,8
folding,shifting,20,19,1.0,9
direct,shifting,20,19,0.49333333333333335,6
folding,shifting,20,20,1.0,12
direct,shifting,20,20,0.05,0
folding,shifting,20,21,0.49333333333333335,5
direct,shifting,20,21,1.0,9
folding,shifting,20,22,1.0,12
direct,shifting,20,22,1.0,6
folding,shifting,20,23,1.0,13
direct,shifting,20,23,1.0,8
folding,shifting,20,24,0.41,4
direct,shifting,20,24,0.05,0
folding,shifting,20,25,1.0,12
direct,shifting,20,25,0.05,0
folding,shifting,20,26,0.49333333333333335,4
direct,shifting,20,26,1.0,7
folding,shifting,20,27,1.0,12
direct,shifting,20,27,1.0,2
folding,shifting,20,28,1.0,8
direct,shifting,20,28,1.0,12
folding,shifting,20,29,1.0,14
direct,shifting,20,29,0.05,0
folding,shifting,50,0,1.0,4
direct,shifting,50,0,1.0,3
folding,shifting,50,1,1.0,6
direct,shifting,50,1,1.0,5
folding,shifting,50,2,1.0,4
direct,shifting,50,2,1.0,6
folding,shifting,50,3,1.0,5
direct,shifting,50,3,1.0,6
folding,shifting,50,4,0.52,5
direct,shifting,50,4,1.0,4
folding,shifting,50,5,1.0,5
direct,shifting,50,5,0.05,0
folding,shifting,50,6,0.4366666666666667,1
direct,shifting,50,6,0.3433333333333334,2
folding,shifting,50,7,1.0,7
direct,shifting,50,7,1.0,6
folding,shifting,50,8,1.0,5
direct,shifting,50,8,0.37666666666666665,2
folding,shifting,50,9,0.4366666666666667,1
direct,shifting,50,9,1.0,4
folding,shifting,50,10,0.5633333333333334,5
direct,shifting,50,10,1.0,3
folding,shifting,50,11,0.5633333333333334,4
direct,shifting,50,11,1.0,2
folding,shifting,50,12,0.5633333333333334,3
direct,shifting,50,12,0.5633333333333334,2
folding,shifting,50,13,0.5633333333333334,4
direct,shifting,50,13,1.0,6
folding,shifting,50,14,0.5633333333333334,6
direct,shifting,50,14,1.0,4
folding,shifting,50,15,1.0,8
direct,shifting,50,15,1.0,3
folding,shifting,50,16,1.0,8
direct,shifting,50,16,1.0,6
folding,shifting,50,17,0.5633333333333334,9
direct,shifting,50,17,0.05,0
folding,shifting,50,18,0.5633333333333334,3
direct,shifting,50,18,0.5633333333333334,4
folding,shifting,50,19,0.5633333333333334,5
direct,shifting,50,19,1.0,3
folding,shifting,50,20,1.0,5
direct,shifting,50,20,0.05,0
folding,shifting,50,21,1.0,4
direct,shifting,50,21,1.0,5
folding,shifting,50,22,1.0,6
direct,shifting,50,22,1.0,2
folding,shifting,50,23,1.0,6
direct,shifting,50,23,0.5633333333333334,4
folding,shifting,50,24,1.0,6
direct,shifting,50,24,0.05,0
folding,shifting,50,25,1.0,4
direct,shifting,50,25,0.05,0
folding,shifting,50,26,1.0,2
direct,shifting,50,26,0.5633333333333334,4
folding,shifting,50,27,1.0,6
direct,shifting,50,27,1.0,1
folding,shifting,50,28,1.0,5
direct,shifting,50,28,1.0,6
folding,shifting,50,29,1.0,7
direct,shifting,50,29,0.05,0
